development_group,target,sample_size,raw_mean_delta,league_mean_delta,shrunk_delta
SOPHOMORE,player_impact_estimate,549,0.005564663023679417,-0.0004264817150063049,0.0051577941110352256
THIRD_YEAR,player_impact_estimate,518,0.004376447876447877,-0.0004264817150063049,0.004032151848386645
VETERAN_24_AND_UNDER,player_impact_estimate,383,0.0016057441253263707,-0.0004264817150063049,0.0014135714690301365
VETERAN_25_27,player_impact_estimate,866,-0.00047690531177829086,-0.0004264817150063049,-0.0004746791044152892
VETERAN_28_30,player_impact_estimate,790,-0.003068354430379747,-0.0004264817150063049,-0.002941035263373798
VETERAN_31_33,player_impact_estimate,510,-0.0050176470588235295,-0.0004264817150063049,-0.004683744124727732
VETERAN_34_36,player_impact_estimate,248,-0.006314516129032259,-0.0004264817150063049,-0.0054967335715286544
VETERAN_37_PLUS,player_impact_estimate,101,-0.006594059405940595,-0.0004264817150063049,-0.004844391975888315
SOPHOMORE,minutes_per_game,549,1.148087431693989,-0.5168474148802018,1.0350188512814804
THIRD_YEAR,minutes_per_game,518,0.5476833976833977,-0.5168474148802018,0.471372945169878
VETERAN_24_AND_UNDER,minutes_per_game,383,0.3467362924281983,-0.5168474148802018,0.2650735305077822
VETERAN_25_27,minutes_per_game,866,-0.18441108545034654,-0.5168474148802018,-0.19908818608742623
VETERAN_28_30,minutes_per_game,790,-1.2153164556962026,-0.5168474148802018,-1.1816552971026604
VETERAN_31_33,minutes_per_game,510,-1.9919607843137257,-0.5168474148802018,-1.8846798119912878
VETERAN_34_36,minutes_per_game,248,-2.7056451612903225,-0.5168474148802018,-2.401645474288917
VETERAN_37_PLUS,minutes_per_game,101,-2.8653465346534657,-0.5168474148802018,-2.199105649611405
SOPHOMORE,points_per_36,549,0.7147689599622912,0.015936698095876355,0.6673100627217876
THIRD_YEAR,points_per_36,518,0.6166925034776789,0.015936698095876355,0.5736275711922451
VETERAN_24_AND_UNDER,points_per_36,383,0.24393174771707585,0.015936698095876355,0.22237193215005935
VETERAN_25_27,points_per_36,866,0.008460120259118893,0.015936698095876355,0.008790211995841075
VETERAN_28_30,points_per_36,790,-0.26676574491758076,0.015936698095876355,-0.2531415307964503
VETERAN_31_33,points_per_36,510,-0.5326068398299895,0.015936698095876355,-0.4927127643444719
VETERAN_34_36,points_per_36,248,-0.8457081080362648,0.015936698095876355,-0.7260352182956897
VETERAN_37_PLUS,points_per_36,101,-0.5674074633608488,0.015936698095876355,-0.4019197579830544
SOPHOMORE,availability,549,0.023923763827802213,-0.04109433149816996,0.019508273483084242
THIRD_YEAR,availability,518,-0.02227140032018081,-0.04109433149816996,-0.0236207143831191
VETERAN_24_AND_UNDER,availability,383,-0.0360122269630007,-0.04109433149816996,-0.03649280422400961
VETERAN_25_27,availability,866,-0.040500197149777505,-0.04109433149816996,-0.040526428246836776
VETERAN_28_30,availability,790,-0.06244211176288978,-0.04109433149816996,-0.0614133030754334
VETERAN_31_33,availability,510,-0.07369679579148733,-0.04109433149816996,-0.07132570747924608
VETERAN_34_36,availability,248,-0.07479346970889063,-0.04109433149816996,-0.07011303384629054
VETERAN_37_PLUS,availability,101,-0.10106254527891816,-0.04109433149816996,-0.0840502860503371
