scenario_id,scenario_status,conference,team,projected_wins,projected_losses,average_seed,top_six_probability,play_in_probability,playoff_probability,second_round_probability,conference_finals_probability,nba_finals_probability,championship_probability,conference_final
OFFICIAL_ONLY,OFFICIAL,East,DET,54,28,4.2895,0.7888,0.13935,0.86775,0.595,0.34845,0.1856,0.09145,ECF
OFFICIAL_ONLY,OFFICIAL,East,NYK,49,33,5.6522,0.64355,0.23565,0.77525,0.43675,0.2265,0.11415,0.05435,ECF
OFFICIAL_ONLY,OFFICIAL,East,BOS,48,34,5.982,0.6012,0.2671,0.7505,0.39875,0.1983,0.09795,0.04685,ECF
OFFICIAL_ONLY,OFFICIAL,East,CHA,47,35,6.2896,0.5581,0.29715,0.7226,0.36355,0.1747,0.08685,0.0414,ECF
OFFICIAL_ONLY,OFFICIAL,East,MIA,46,36,6.5702,0.5247,0.31315,0.69415,0.34045,0.1628,0.0819,0.04065,ECF
OFFICIAL_ONLY,OFFICIAL,East,TOR,46,36,6.5841,0.51875,0.3173,0.69035,0.337,0.16185,0.0801,0.039,ECF
OFFICIAL_ONLY,OFFICIAL,East,PHI,46,36,6.61795,0.51735,0.31655,0.68935,0.33255,0.159,0.0784,0.03755,ECF
OFFICIAL_ONLY,OFFICIAL,East,CLE,45,37,6.91645,0.47225,0.34855,0.65935,0.3061,0.14605,0.07155,0.0347,ECF
OFFICIAL_ONLY,OFFICIAL,East,ATL,45,37,6.8934,0.47615,0.34275,0.6587,0.31025,0.149,0.07065,0.0334,ECF
OFFICIAL_ONLY,OFFICIAL,East,ORL,43,39,7.58845,0.3877,0.3815,0.5851,0.24935,0.11795,0.0581,0.0292,ECF
OFFICIAL_ONLY,OFFICIAL,East,CHI,36,46,9.7417,0.1819,0.34425,0.3179,0.118,0.05655,0.02755,0.01325,ECF
OFFICIAL_ONLY,OFFICIAL,East,MIL,31,51,11.08195,0.109,0.2247,0.1922,0.0692,0.03165,0.01485,0.00705,ECF
OFFICIAL_ONLY,OFFICIAL,East,BKN,29,53,11.64225,0.0848,0.17635,0.1496,0.0546,0.02555,0.01295,0.00655,ECF
OFFICIAL_ONLY,OFFICIAL,East,WAS,28,54,11.85035,0.07565,0.1651,0.13725,0.05,0.02365,0.0111,0.00545,ECF
OFFICIAL_ONLY,OFFICIAL,East,IND,26,56,12.2999,0.0601,0.13055,0.10995,0.03845,0.018,0.0083,0.00355,ECF
OFFICIAL_ONLY,OFFICIAL,West,SAS,56,26,3.70915,0.85,0.10025,0.9086,0.66665,0.41505,0.2288,0.12035,WCF
OFFICIAL_ONLY,OFFICIAL,West,OKC,54,28,4.15255,0.81445,0.12595,0.8891,0.60675,0.3476,0.1792,0.0952,WCF
OFFICIAL_ONLY,OFFICIAL,West,HOU,49,33,5.471,0.6809,0.2112,0.80285,0.44735,0.22315,0.1082,0.05375,WCF
OFFICIAL_ONLY,OFFICIAL,West,DEN,48,34,5.75175,0.64595,0.23515,0.78635,0.4194,0.1981,0.09425,0.0454,WCF
OFFICIAL_ONLY,OFFICIAL,West,PHX,44,38,6.9869,0.47875,0.33605,0.66615,0.29845,0.1336,0.0643,0.03335,WCF
OFFICIAL_ONLY,OFFICIAL,West,LAL,44,38,7.04685,0.4711,0.3386,0.65835,0.28825,0.1268,0.06205,0.03235,WCF
OFFICIAL_ONLY,OFFICIAL,West,MIN,43,39,7.2699,0.44175,0.35295,0.632,0.27405,0.12145,0.05855,0.0296,WCF
OFFICIAL_ONLY,OFFICIAL,West,POR,43,39,7.26015,0.44185,0.35835,0.637,0.2721,0.1201,0.05585,0.0287,WCF
OFFICIAL_ONLY,OFFICIAL,West,LAC,40,42,8.2323,0.3235,0.39225,0.52145,0.19755,0.0849,0.04,0.0199,WCF
OFFICIAL_ONLY,OFFICIAL,West,GSW,38,44,8.84865,0.2603,0.3881,0.4413,0.16065,0.0679,0.034,0.0173,WCF
OFFICIAL_ONLY,OFFICIAL,West,DAL,33,49,10.3524,0.1533,0.29015,0.2691,0.09675,0.0413,0.0203,0.0113,WCF
OFFICIAL_ONLY,OFFICIAL,West,NOP,34,48,10.0189,0.17,0.31695,0.3068,0.1065,0.04715,0.0209,0.0108,WCF
OFFICIAL_ONLY,OFFICIAL,West,UTA,29,53,11.4587,0.09555,0.20255,0.1711,0.0591,0.0255,0.01235,0.007,WCF
OFFICIAL_ONLY,OFFICIAL,West,MEM,29,53,11.47445,0.09615,0.19595,0.17405,0.05875,0.02645,0.01205,0.0057,WCF
OFFICIAL_ONLY,OFFICIAL,West,SAC,27,55,11.96635,0.07645,0.15555,0.1358,0.0477,0.02095,0.0092,0.0049,WCF
